episode_name,dialogue,person_scene,filtered_words,stemmed_words,pos_tags,entities
Series 04 Episode 03 – The Zazzy Substitution," Like everybody else’s. Subject to entropy, decay and eventual death. Thank you for asking. Why is she not taking our order?",Amy,"['like', 'everybody', 'elses', 'subject', 'entropy', 'decay', 'eventual', 'death', 'thank', 'asking', 'taking', 'order']","['like', 'everybodi', 'els', 'subject', 'entropi', 'decay', 'eventu', 'death', 'thank', 'ask', 'take', 'order']","[('like', 'INTJ'), ('everybody', 'PRON'), ('elses', 'VERB'), ('subject', 'NOUN'), ('entropy', 'NOUN'), ('decay', 'NOUN'), ('eventual', 'ADJ'), ('death', 'NOUN'), ('thank', 'NOUN'), ('asking', 'VERB'), ('taking', 'VERB'), ('order', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Really? I assumed an establishment called the Cheesecake Factory would function more efficiently.,Amy,"['really', 'assumed', 'establishment', 'called', 'cheesecake', 'factory', 'would', 'function', 'efficiently']","['realli', 'assum', 'establish', 'call', 'cheesecak', 'factori', 'would', 'function', 'effici']","[('really', 'ADV'), ('assumed', 'VERB'), ('establishment', 'NOUN'), ('called', 'VERB'), ('cheesecake', 'NOUN'), ('factory', 'NOUN'), ('would', 'AUX'), ('function', 'VERB'), ('efficiently', 'ADV')]",[]
Series 04 Episode 03 – The Zazzy Substitution," You’re right, he’s a festival of humdrum chitchat.",Amy,"['youre', 'right', 'hes', 'festival', 'humdrum', 'chitchat']","['your', 'right', 'he', 'festiv', 'humdrum', 'chitchat']","[('you', 'PRON'), ('re', 'VERB'), ('right', 'ADJ'), ('he', 'PRON'), ('s', 'VERB'), ('festival', 'NOUN'), ('humdrum', 'NOUN'), ('chitchat', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I doubt you’d understand. Sheldon tells me you only have a master’s degree.,Amy,"['doubt', 'youd', 'understand', 'sheldon', 'tells', 'masters', 'degree']","['doubt', 'youd', 'understand', 'sheldon', 'tell', 'master', 'degre']","[('doubt', 'VERB'), ('you', 'PRON'), ('d', 'NOUN'), ('understand', 'VERB'), ('sheldon', 'PROPN'), ('tells', 'VERB'), ('masters', 'NOUN'), ('degree', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I’m curious as to why we’re not eating alone.,Amy,"['im', 'curious', 'eating', 'alone']","['im', 'curiou', 'eat', 'alon']","[('i', 'PRON'), ('m', 'VERB'), ('curious', 'ADJ'), ('eating', 'VERB'), ('alone', 'ADV')]",[]
Series 04 Episode 03 – The Zazzy Substitution," It’s very impressive, for theoretical work.",Amy,"['impressive', 'theoretical', 'work']","['impress', 'theoret', 'work']","[('impressive', 'ADJ'), ('theoretical', 'ADJ'), ('work', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution," I’m sorry, was I being too subtle? I meant compared to the real-world applications of neurobiology, theoretical physics is, what’s the word I’m looking for? Hmm, cute.",Amy,"['im', 'sorry', 'subtle', 'meant', 'compared', 'realworld', 'applications', 'neurobiology', 'theoretical', 'physics', 'whats', 'word', 'im', 'looking', 'hmm', 'cute']","['im', 'sorri', 'subtl', 'meant', 'compar', 'realworld', 'applic', 'neurobiolog', 'theoret', 'physic', 'what', 'word', 'im', 'look', 'hmm', 'cute']","[('i', 'PRON'), ('m', 'VERB'), ('sorry', 'ADJ'), ('subtle', 'ADJ'), ('meant', 'VERB'), ('compared', 'VERB'), ('realworld', 'NOUN'), ('applications', 'NOUN'), ('neurobiology', 'NOUN'), ('theoretical', 'ADJ'), ('physics', 'NOUN'), ('what', 'PRON'), ('s', 'VERB'), ('word', 'NOUN'), ('i', 'PRON'), ('m', 'AUX'), ('looking', 'VERB'), ('hmm', 'INTJ'), ('cute', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I’m stating it outright. Babinski eats Dirac for breakfast and defecates Clarke-Maxwell.,Amy,"['im', 'stating', 'outright', 'babinski', 'eats', 'dirac', 'breakfast', 'defecates', 'clarkemaxwell']","['im', 'state', 'outright', 'babinski', 'eat', 'dirac', 'breakfast', 'defec', 'clarkemaxwel']","[('i', 'PRON'), ('m', 'AUX'), ('stating', 'VERB'), ('outright', 'ADJ'), ('babinski', 'NOUN'), ('eats', 'VERB'), ('dirac', 'ADJ'), ('breakfast', 'NOUN'), ('defecates', 'NOUN'), ('clarkemaxwell', 'VERB')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Absolutely not. My colleagues and I are mapping the neurological substrates that subserve global information processing, which is required for all cognitive reasoning, including scientific inquiry, making my research ipso facto prior in the ordo cognoscendi. That means it’s better than his research, and by extension, of course, yours.",Amy,"['absolutely', 'colleagues', 'mapping', 'neurological', 'substrates', 'subserve', 'global', 'information', 'processing', 'required', 'cognitive', 'reasoning', 'including', 'scientific', 'inquiry', 'making', 'research', 'ipso', 'facto', 'prior', 'ordo', 'cognoscendi', 'means', 'better', 'research', 'extension', 'course']","['absolut', 'colleagu', 'map', 'neurolog', 'substrat', 'subserv', 'global', 'inform', 'process', 'requir', 'cognit', 'reason', 'includ', 'scientif', 'inquiri', 'make', 'research', 'ipso', 'facto', 'prior', 'ordo', 'cognoscendi', 'mean', 'better', 'research', 'extens', 'cours']","[('absolutely', 'ADV'), ('colleagues', 'NOUN'), ('mapping', 'VERB'), ('neurological', 'ADJ'), ('substrates', 'NOUN'), ('subserve', 'VERB'), ('global', 'ADJ'), ('information', 'NOUN'), ('processing', 'NOUN'), ('required', 'VERB'), ('cognitive', 'ADJ'), ('reasoning', 'NOUN'), ('including', 'VERB'), ('scientific', 'ADJ'), ('inquiry', 'NOUN'), ('making', 'VERB'), ('research', 'NOUN'), ('ipso', 'X'), ('facto', 'X'), ('prior', 'ADJ'), ('ordo', 'NOUN'), ('cognoscendi', 'PROPN'), ('means', 'VERB'), ('better', 'ADJ'), ('research', 'NOUN'), ('extension', 'NOUN'), ('course', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Yes, but if I’m successful, I will be able to map and reproduce your thought processes in deriving a grand unified theory, and therefore, subsume your conclusions under my paradigm.",Amy,"['yes', 'im', 'successful', 'able', 'map', 'reproduce', 'thought', 'processes', 'deriving', 'grand', 'unified', 'theory', 'therefore', 'subsume', 'conclusions', 'paradigm']","['ye', 'im', 'success', 'abl', 'map', 'reproduc', 'thought', 'process', 'deriv', 'grand', 'unifi', 'theori', 'therefor', 'subsum', 'conclus', 'paradigm']","[('yes', 'INTJ'), ('i', 'PRON'), ('m', 'VERB'), ('successful', 'ADJ'), ('able', 'ADJ'), ('map', 'NOUN'), ('reproduce', 'NOUN'), ('thought', 'NOUN'), ('processes', 'NOUN'), ('deriving', 'VERB'), ('grand', 'ADJ'), ('unified', 'ADJ'), ('theory', 'NOUN'), ('therefore', 'ADV'), ('subsume', 'VERB'), ('conclusions', 'NOUN'), ('paradigm', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,We appear to have reached an impasse.,Amy,"['appear', 'reached', 'impasse']","['appear', 'reach', 'impass']","[('appear', 'AUX'), ('reached', 'VERB'), ('impasse', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Seconded.,Amy,['seconded'],['second'],"[('seconded', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Good day, Sheldon Cooper.",Amy,"['good', 'day', 'sheldon', 'cooper']","['good', 'day', 'sheldon', 'cooper']","[('good', 'ADJ'), ('day', 'NOUN'), ('sheldon', 'NOUN'), ('cooper', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution," Your mother thinks you might be losing your mind over me. As a neurobiologist, I was curious.",Amy,"['mother', 'thinks', 'might', 'losing', 'mind', 'neurobiologist', 'curious']","['mother', 'think', 'might', 'lose', 'mind', 'neurobiologist', 'curiou']","[('mother', 'NOUN'), ('thinks', 'VERB'), ('might', 'AUX'), ('losing', 'VERB'), ('mind', 'NOUN'), ('neurobiologist', 'NOUN'), ('curious', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Excellent point.,Amy,"['excellent', 'point']","['excel', 'point']","[('excellent', 'ADJ'), ('point', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Touche.,Amy,['touche'],['touch'],"[('touche', 'PROPN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I’ll agree to that only if you’ll stipulate that 80% of our difficulties were caused by you.,Amy,"['ill', 'agree', 'youll', 'stipulate', '80', 'difficulties', 'caused']","['ill', 'agre', 'youll', 'stipul', '80', 'difficulti', 'caus']","[('ill', 'PROPN'), ('agree', 'VERB'), ('you', 'PRON'), ('ll', 'AUX'), ('stipulate', 'VERB'), ('80', 'NUM'), ('difficulties', 'NOUN'), ('caused', 'VERB')]","[('ill agree', 'PERSON'), ('80', 'CARDINAL')]"
Series 04 Episode 03 – The Zazzy Substitution,Sixty-five.,Amy,['sixtyfive'],['sixtyf'],"[('sixtyfive', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I do. I find being cast in the role of bad girl oddly titillating.,Amy,"['find', 'cast', 'role', 'bad', 'girl', 'oddly', 'titillating']","['find', 'cast', 'role', 'bad', 'girl', 'oddli', 'titil']","[('find', 'VERB'), ('cast', 'VERB'), ('role', 'NOUN'), ('bad', 'ADJ'), ('girl', 'NOUN'), ('oddly', 'ADV'), ('titillating', 'VERB')]",[]
Series 04 Episode 03 – The Zazzy Substitution,I would. I love cats. They’re the epitome of indifference.,Amy,"['would', 'love', 'cats', 'theyre', 'epitome', 'indifference']","['would', 'love', 'cat', 'theyr', 'epitom', 'indiffer']","[('would', 'AUX'), ('love', 'VERB'), ('cats', 'NOUN'), ('they', 'PRON'), ('re', 'VERB'), ('epitome', 'NOUN'), ('indifference', 'NOUN')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Next!,Amy,['next'],['next'],"[('next', 'ADJ')]",[]
Series 04 Episode 03 – The Zazzy Substitution,Next!,Amy,['next'],['next'],"[('next', 'ADJ')]",[]
Series 04 Episode 05 – The Desperation Emanation," From a neurobiological standpoint, Leonard, you may be alone because your psychological state is causing an actual pheromone-based stink of desperation.",Amy,"['neurobiological', 'standpoint', 'leonard', 'may', 'alone', 'psychological', 'state', 'causing', 'actual', 'pheromonebased', 'stink', 'desperation']","['neurobiolog', 'standpoint', 'leonard', 'may', 'alon', 'psycholog', 'state', 'caus', 'actual', 'pheromonebas', 'stink', 'desper']","[('neurobiological', 'ADJ'), ('standpoint', 'NOUN'), ('leonard', 'NOUN'), ('may', 'AUX'), ('alone', 'ADV'), ('psychological', 'ADJ'), ('state', 'NOUN'), ('causing', 'VERB'), ('actual', 'ADJ'), ('pheromonebased', 'VERB'), ('stink', 'NOUN'), ('desperation', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,I understand that some people find mates in social gathering places such as bars or taverns. Have you tried a bar or tavern?,Amy,"['understand', 'people', 'find', 'mates', 'social', 'gathering', 'places', 'bars', 'taverns', 'tried', 'bar', 'tavern']","['understand', 'peopl', 'find', 'mate', 'social', 'gather', 'place', 'bar', 'tavern', 'tri', 'bar', 'tavern']","[('understand', 'VERB'), ('people', 'NOUN'), ('find', 'VERB'), ('mates', 'NOUN'), ('social', 'ADJ'), ('gathering', 'NOUN'), ('places', 'NOUN'), ('bars', 'NOUN'), ('taverns', 'NOUN'), ('tried', 'VERB'), ('bar', 'NOUN'), ('tavern', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation," That’s not true of all bars. Juice bars, for example.",Amy,"['thats', 'true', 'bars', 'juice', 'bars', 'example']","['that', 'true', 'bar', 'juic', 'bar', 'exampl']","[('that', 'PRON'), ('s', 'VERB'), ('true', 'ADJ'), ('bars', 'NOUN'), ('juice', 'NOUN'), ('bars', 'NOUN'), ('example', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,That was rude.,Amy,['rude'],['rude'],"[('rude', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,Cornucopia. What a mellifluous word.,Amy,"['cornucopia', 'mellifluous', 'word']","['cornucopia', 'melliflu', 'word']","[('cornucopia', 'PROPN'), ('mellifluous', 'ADJ'), ('word', 'NOUN')]","[('cornucopia mellifluous', 'ORG')]"
Series 04 Episode 05 – The Desperation Emanation,Agreed. And we’ll use mellifluous tomorrow.,Amy,"['agreed', 'well', 'use', 'mellifluous', 'tomorrow']","['agre', 'well', 'use', 'melliflu', 'tomorrow']","[('agreed', 'VERB'), ('well', 'ADV'), ('use', 'VERB'), ('mellifluous', 'ADJ'), ('tomorrow', 'NOUN')]","[('tomorrow', 'DATE')]"
Series 04 Episode 05 – The Desperation Emanation,Wait. I have a request.,Amy,"['wait', 'request']","['wait', 'request']","[('wait', 'VERB'), ('request', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,I’d like you to meet my mother.,Amy,"['id', 'like', 'meet', 'mother']","['id', 'like', 'meet', 'mother']","[('i', 'PRON'), ('d', 'NOUN'), ('like', 'ADP'), ('meet', 'VERB'), ('mother', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,Certainly. Good night.,Amy,"['certainly', 'good', 'night']","['certainli', 'good', 'night']","[('certainly', 'ADV'), ('good', 'ADJ'), ('night', 'NOUN')]",[]
Series 04 Episode 05 – The Desperation Emanation,All right. (Leaves),Amy,"['right', 'leaves']","['right', 'leav']","[('right', 'ADJ'), ('leaves', 'VERB')]",[]
