episode_name,dialogue,person_scene,stemmed_words,pos_tags,entities,filtered_words
Series 04 Episode 01 – The Robotic Manipulation," No, thank you.",Amy,['thank'],"[('thank', 'VERB')]",[],['thank']
Series 04 Episode 01 – The Robotic Manipulation,No.,Amy,[],[],[],[]
Series 04 Episode 01 – The Robotic Manipulation,That’s an amusing factoid.,Amy,"['that', 'amus', 'factoid']","[('that', 'PRON'), ('s', 'VERB'), ('amusing', 'ADJ'), ('factoid', 'NOUN')]",[],"['thats', 'amusing', 'factoid']"
Series 04 Episode 01 – The Robotic Manipulation,Is this true?,Amy,['true'],"[('true', 'ADJ')]",[],['true']
Series 04 Episode 01 – The Robotic Manipulation," Once a year. It’s a deal I made with my mother in exchange for her silence on the matter, as well as the occasional use of her George Foreman Grill that seals in the flavour without the fat. How about you, Penny? Do you go on many dates?",Amy,"['year', 'deal', 'made', 'mother', 'exchang', 'silenc', 'matter', 'well', 'occasion', 'use', 'georg', 'foreman', 'grill', 'seal', 'flavour', 'without', 'fat', 'penni', 'go', 'mani', 'date']","[('year', 'NOUN'), ('deal', 'NOUN'), ('made', 'VERB'), ('mother', 'NOUN'), ('exchange', 'NOUN'), ('silence', 'NOUN'), ('matter', 'NOUN'), ('well', 'ADV'), ('occasional', 'ADJ'), ('use', 'NOUN'), ('george', 'PROPN'), ('foreman', 'PROPN'), ('grill', 'NOUN'), ('seals', 'NOUN'), ('flavour', 'VERB'), ('without', 'ADP'), ('fat', 'ADJ'), ('penny', 'NOUN'), ('go', 'VERB'), ('many', 'ADJ'), ('dates', 'NOUN')]","[('george foreman', 'PERSON')]","['year', 'deal', 'made', 'mother', 'exchange', 'silence', 'matter', 'well', 'occasional', 'use', 'george', 'foreman', 'grill', 'seals', 'flavour', 'without', 'fat', 'penny', 'go', 'many', 'dates']"
Series 04 Episode 01 – The Robotic Manipulation,Remarkable. Did you have sexual intercourse with all of these men?,Amy,"['remark', 'sexual', 'intercours', 'men']","[('remarkable', 'ADJ'), ('sexual', 'ADJ'), ('intercourse', 'NOUN'), ('men', 'NOUN')]",[],"['remarkable', 'sexual', 'intercourse', 'men']"
Series 04 Episode 01 – The Robotic Manipulation," This is very interesting. Cultural perceptions are subjective. Penny, to your mind, are you a slut?",Amy,"['interest', 'cultur', 'percept', 'subject', 'penni', 'mind', 'slut']","[('interesting', 'ADJ'), ('cultural', 'ADJ'), ('perceptions', 'NOUN'), ('subjective', 'ADJ'), ('penny', 'NOUN'), ('mind', 'NOUN'), ('slut', 'NOUN')]",[],"['interesting', 'cultural', 'perceptions', 'subjective', 'penny', 'mind', 'slut']"
Series 04 Episode 01 – The Robotic Manipulation,Does volunteering for a scientific experiment in which orgasm was achieved by electronically stimulating the pleasure centres of the brain count?,Amy,"['volunt', 'scientif', 'experi', 'orgasm', 'achiev', 'electron', 'stimul', 'pleasur', 'centr', 'brain', 'count']","[('volunteering', 'VERB'), ('scientific', 'ADJ'), ('experiment', 'NOUN'), ('orgasm', 'NOUN'), ('achieved', 'VERB'), ('electronically', 'ADV'), ('stimulating', 'VERB'), ('pleasure', 'NOUN'), ('centres', 'NOUN'), ('brain', 'NOUN'), ('count', 'NOUN')]",[],"['volunteering', 'scientific', 'experiment', 'orgasm', 'achieved', 'electronically', 'stimulating', 'pleasure', 'centres', 'brain', 'count']"
Series 04 Episode 01 – The Robotic Manipulation,Then 128.,Amy,['128'],"[('128', 'NUM')]","[('128', 'CARDINAL')]",['128']
Series 04 Episode 03 – The Zazzy Substitution," In a world where rhinoceroses are domesticated pets, who wins the Second World War?",Amy,"['world', 'rhinoceros', 'domest', 'pet', 'win', 'second', 'world', 'war']","[('world', 'NOUN'), ('rhinoceroses', 'NOUN'), ('domesticated', 'VERB'), ('pets', 'NOUN'), ('wins', 'VERB'), ('second', 'ADJ'), ('world', 'NOUN'), ('war', 'NOUN')]","[('second', 'ORDINAL')]","['world', 'rhinoceroses', 'domesticated', 'pets', 'wins', 'second', 'world', 'war']"
Series 04 Episode 03 – The Zazzy Substitution,Defend.,Amy,['defend'],"[('defend', 'VERB')]",[],['defend']
Series 04 Episode 03 – The Zazzy Substitution,Correct. My turn.,Amy,"['correct', 'turn']","[('correct', 'ADJ'), ('turn', 'NOUN')]",[],"['correct', 'turn']"
Series 04 Episode 03 – The Zazzy Substitution,Tuned bayonets.,Amy,"['tune', 'bayonet']","[('tuned', 'VERB'), ('bayonets', 'NOUN')]",[],"['tuned', 'bayonets']"
Series 04 Episode 03 – The Zazzy Substitution,Isn’t it obvious?,Amy,"['isnt', 'obviou']","[('is', 'AUX'), ('nt', 'PART'), ('obvious', 'ADJ')]",[],"['isnt', 'obvious']"
Series 04 Episode 03 – The Zazzy Substitution,We postulate an alternate world that differs from ours in one key aspect and then pose questions to each other.,Amy,"['postul', 'altern', 'world', 'differ', 'one', 'key', 'aspect', 'pose', 'question']","[('postulate', 'VERB'), ('alternate', 'ADJ'), ('world', 'NOUN'), ('differs', 'VERB'), ('one', 'NUM'), ('key', 'ADJ'), ('aspect', 'NOUN'), ('pose', 'VERB'), ('questions', 'NOUN')]","[('one', 'CARDINAL')]","['postulate', 'alternate', 'world', 'differs', 'one', 'key', 'aspect', 'pose', 'questions']"
Series 04 Episode 03 – The Zazzy Substitution," In a world ruled by a giant beaver, mankind builds many dams to please the beaver overlord. The low-lying city of Copenhagen is flooded. Thousands die. Devastated, the Danes never invent their namesake pastry. How does one miss that?",Amy,"['world', 'rule', 'giant', 'beaver', 'mankind', 'build', 'mani', 'dam', 'pleas', 'beaver', 'overlord', 'lowli', 'citi', 'copenhagen', 'flood', 'thousand', 'die', 'devast', 'dane', 'never', 'invent', 'namesak', 'pastri', 'one', 'miss']","[('world', 'NOUN'), ('ruled', 'VERB'), ('giant', 'ADJ'), ('beaver', 'NOUN'), ('mankind', 'NOUN'), ('builds', 'VERB'), ('many', 'ADJ'), ('dams', 'NOUN'), ('please', 'INTJ'), ('beaver', 'VERB'), ('overlord', 'PROPN'), ('lowlying', 'PROPN'), ('city', 'PROPN'), ('copenhagen', 'PROPN'), ('flooded', 'VERB'), ('thousands', 'NOUN'), ('die', 'VERB'), ('devastated', 'VERB'), ('danes', 'NOUN'), ('never', 'ADV'), ('invent', 'VERB'), ('namesake', 'NOUN'), ('pastry', 'NOUN'), ('one', 'NUM'), ('miss', 'NOUN')]","[('thousands', 'CARDINAL'), ('one', 'CARDINAL')]","['world', 'ruled', 'giant', 'beaver', 'mankind', 'builds', 'many', 'dams', 'please', 'beaver', 'overlord', 'lowlying', 'city', 'copenhagen', 'flooded', 'thousands', 'die', 'devastated', 'danes', 'never', 'invent', 'namesake', 'pastry', 'one', 'miss']"
Series 04 Episode 03 – The Zazzy Substitution,Is he always like this when he loses?,Amy,"['alway', 'like', 'lose']","[('always', 'ADV'), ('like', 'VERB'), ('loses', 'NOUN')]",[],"['always', 'like', 'loses']"
Series 04 Episode 03 – The Zazzy Substitution,Perhaps it would be kinder to play a game more suited to his abilities. We’ll close our eyes and count to ten while you hide.,Amy,"['perhap', 'would', 'kinder', 'play', 'game', 'suit', 'abil', 'well', 'close', 'eye', 'count', 'ten', 'hide']","[('perhaps', 'ADV'), ('would', 'AUX'), ('kinder', 'VERB'), ('play', 'VERB'), ('game', 'NOUN'), ('suited', 'VERB'), ('abilities', 'NOUN'), ('well', 'ADV'), ('close', 'ADJ'), ('eyes', 'NOUN'), ('count', 'VERB'), ('ten', 'NUM'), ('hide', 'VERB')]","[('ten', 'CARDINAL')]","['perhaps', 'would', 'kinder', 'play', 'game', 'suited', 'abilities', 'well', 'close', 'eyes', 'count', 'ten', 'hide']"
Series 04 Episode 03 – The Zazzy Substitution," Very good, Leonard. But next time, don’t tell us where you’re hiding.",Amy,"['good', 'leonard', 'next', 'time', 'dont', 'tell', 'us', 'your', 'hide']","[('good', 'ADJ'), ('leonard', 'NOUN'), ('next', 'ADJ'), ('time', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('tell', 'VERB'), ('us', 'PRON'), ('you', 'PRON'), ('re', 'AUX'), ('hiding', 'VERB')]",[],"['good', 'leonard', 'next', 'time', 'dont', 'tell', 'us', 'youre', 'hiding']"
Series 04 Episode 03 – The Zazzy Substitution,Hello.,Amy,['hello'],"[('hello', 'INTJ')]",[],['hello']
Series 04 Episode 03 – The Zazzy Substitution,I must take responsibility. I had to stop for feminine hygiene supplies.,Amy,"['must', 'take', 'respons', 'stop', 'feminin', 'hygien', 'suppli']","[('must', 'AUX'), ('take', 'VERB'), ('responsibility', 'NOUN'), ('stop', 'VERB'), ('feminine', 'ADJ'), ('hygiene', 'NOUN'), ('supplies', 'NOUN')]",[],"['must', 'take', 'responsibility', 'stop', 'feminine', 'hygiene', 'supplies']"
Series 04 Episode 03 – The Zazzy Substitution," Actually, I’m not. In order to avoid surprises, I wear them all the time.",Amy,"['actual', 'im', 'order', 'avoid', 'surpris', 'wear', 'time']","[('actually', 'ADV'), ('i', 'PRON'), ('m', 'AUX'), ('order', 'NOUN'), ('avoid', 'VERB'), ('surprises', 'NOUN'), ('wear', 'VERB'), ('time', 'NOUN')]",[],"['actually', 'im', 'order', 'avoid', 'surprises', 'wear', 'time']"
Series 04 Episode 03 – The Zazzy Substitution,Shamy?,Amy,['shami'],"[('shamy', 'X')]",[],['shamy']
Series 04 Episode 03 – The Zazzy Substitution,Oh. I don’t like that. Don’t do that.,Amy,"['oh', 'dont', 'like', 'dont']","[('oh', 'INTJ'), ('do', 'AUX'), ('nt', 'PART'), ('like', 'VERB'), ('do', 'AUX'), ('nt', 'PART')]",[],"['oh', 'dont', 'like', 'dont']"
Series 04 Episode 03 – The Zazzy Substitution," Well, just recently, I learned that you refer to us as Shamy, and I don’t like that.",Amy,"['well', 'recent', 'learn', 'refer', 'us', 'shami', 'dont', 'like']","[('well', 'INTJ'), ('recently', 'ADV'), ('learned', 'VERB'), ('refer', 'VERB'), ('us', 'PRON'), ('shamy', 'NOUN'), ('do', 'AUX'), ('nt', 'PART'), ('like', 'VERB')]",[],"['well', 'recently', 'learned', 'refer', 'us', 'shamy', 'dont', 'like']"
Series 04 Episode 03 – The Zazzy Substitution," Like everybody else’s. Subject to entropy, decay and eventual death. Thank you for asking. Why is she not taking our order?",Amy,"['like', 'everybodi', 'els', 'subject', 'entropi', 'decay', 'eventu', 'death', 'thank', 'ask', 'take', 'order']","[('like', 'INTJ'), ('everybody', 'PRON'), ('elses', 'VERB'), ('subject', 'NOUN'), ('entropy', 'NOUN'), ('decay', 'NOUN'), ('eventual', 'ADJ'), ('death', 'NOUN'), ('thank', 'NOUN'), ('asking', 'VERB'), ('taking', 'VERB'), ('order', 'NOUN')]",[],"['like', 'everybody', 'elses', 'subject', 'entropy', 'decay', 'eventual', 'death', 'thank', 'asking', 'taking', 'order']"
Series 04 Episode 03 – The Zazzy Substitution,Really? I assumed an establishment called the Cheesecake Factory would function more efficiently.,Amy,"['realli', 'assum', 'establish', 'call', 'cheesecak', 'factori', 'would', 'function', 'effici']","[('really', 'ADV'), ('assumed', 'VERB'), ('establishment', 'NOUN'), ('called', 'VERB'), ('cheesecake', 'NOUN'), ('factory', 'NOUN'), ('would', 'AUX'), ('function', 'VERB'), ('efficiently', 'ADV')]",[],"['really', 'assumed', 'establishment', 'called', 'cheesecake', 'factory', 'would', 'function', 'efficiently']"
Series 04 Episode 03 – The Zazzy Substitution," You’re right, he’s a festival of humdrum chitchat.",Amy,"['your', 'right', 'he', 'festiv', 'humdrum', 'chitchat']","[('you', 'PRON'), ('re', 'VERB'), ('right', 'ADJ'), ('he', 'PRON'), ('s', 'VERB'), ('festival', 'NOUN'), ('humdrum', 'NOUN'), ('chitchat', 'NOUN')]",[],"['youre', 'right', 'hes', 'festival', 'humdrum', 'chitchat']"
Series 04 Episode 03 – The Zazzy Substitution,I doubt you’d understand. Sheldon tells me you only have a master’s degree.,Amy,"['doubt', 'youd', 'understand', 'sheldon', 'tell', 'master', 'degre']","[('doubt', 'VERB'), ('you', 'PRON'), ('d', 'NOUN'), ('understand', 'VERB'), ('sheldon', 'PROPN'), ('tells', 'VERB'), ('masters', 'NOUN'), ('degree', 'NOUN')]",[],"['doubt', 'youd', 'understand', 'sheldon', 'tells', 'masters', 'degree']"
Series 04 Episode 03 – The Zazzy Substitution,I’m curious as to why we’re not eating alone.,Amy,"['im', 'curiou', 'eat', 'alon']","[('i', 'PRON'), ('m', 'VERB'), ('curious', 'ADJ'), ('eating', 'VERB'), ('alone', 'ADV')]",[],"['im', 'curious', 'eating', 'alone']"
Series 04 Episode 03 – The Zazzy Substitution," It’s very impressive, for theoretical work.",Amy,"['impress', 'theoret', 'work']","[('impressive', 'ADJ'), ('theoretical', 'ADJ'), ('work', 'NOUN')]",[],"['impressive', 'theoretical', 'work']"
Series 04 Episode 03 – The Zazzy Substitution," I’m sorry, was I being too subtle? I meant compared to the real-world applications of neurobiology, theoretical physics is, what’s the word I’m looking for? Hmm, cute.",Amy,"['im', 'sorri', 'subtl', 'meant', 'compar', 'realworld', 'applic', 'neurobiolog', 'theoret', 'physic', 'what', 'word', 'im', 'look', 'hmm', 'cute']","[('i', 'PRON'), ('m', 'VERB'), ('sorry', 'ADJ'), ('subtle', 'ADJ'), ('meant', 'VERB'), ('compared', 'VERB'), ('realworld', 'NOUN'), ('applications', 'NOUN'), ('neurobiology', 'NOUN'), ('theoretical', 'ADJ'), ('physics', 'NOUN'), ('what', 'PRON'), ('s', 'VERB'), ('word', 'NOUN'), ('i', 'PRON'), ('m', 'AUX'), ('looking', 'VERB'), ('hmm', 'INTJ'), ('cute', 'ADJ')]",[],"['im', 'sorry', 'subtle', 'meant', 'compared', 'realworld', 'applications', 'neurobiology', 'theoretical', 'physics', 'whats', 'word', 'im', 'looking', 'hmm', 'cute']"
Series 04 Episode 03 – The Zazzy Substitution,I’m stating it outright. Babinski eats Dirac for breakfast and defecates Clarke-Maxwell.,Amy,"['im', 'state', 'outright', 'babinski', 'eat', 'dirac', 'breakfast', 'defec', 'clarkemaxwel']","[('i', 'PRON'), ('m', 'AUX'), ('stating', 'VERB'), ('outright', 'ADJ'), ('babinski', 'NOUN'), ('eats', 'VERB'), ('dirac', 'ADJ'), ('breakfast', 'NOUN'), ('defecates', 'NOUN'), ('clarkemaxwell', 'VERB')]",[],"['im', 'stating', 'outright', 'babinski', 'eats', 'dirac', 'breakfast', 'defecates', 'clarkemaxwell']"
Series 04 Episode 03 – The Zazzy Substitution," Absolutely not. My colleagues and I are mapping the neurological substrates that subserve global information processing, which is required for all cognitive reasoning, including scientific inquiry, making my research ipso facto prior in the ordo cognoscendi. That means it’s better than his research, and by extension, of course, yours.",Amy,"['absolut', 'colleagu', 'map', 'neurolog', 'substrat', 'subserv', 'global', 'inform', 'process', 'requir', 'cognit', 'reason', 'includ', 'scientif', 'inquiri', 'make', 'research', 'ipso', 'facto', 'prior', 'ordo', 'cognoscendi', 'mean', 'better', 'research', 'extens', 'cours']","[('absolutely', 'ADV'), ('colleagues', 'NOUN'), ('mapping', 'VERB'), ('neurological', 'ADJ'), ('substrates', 'NOUN'), ('subserve', 'VERB'), ('global', 'ADJ'), ('information', 'NOUN'), ('processing', 'NOUN'), ('required', 'VERB'), ('cognitive', 'ADJ'), ('reasoning', 'NOUN'), ('including', 'VERB'), ('scientific', 'ADJ'), ('inquiry', 'NOUN'), ('making', 'VERB'), ('research', 'NOUN'), ('ipso', 'X'), ('facto', 'X'), ('prior', 'ADJ'), ('ordo', 'NOUN'), ('cognoscendi', 'PROPN'), ('means', 'VERB'), ('better', 'ADJ'), ('research', 'NOUN'), ('extension', 'NOUN'), ('course', 'NOUN')]",[],"['absolutely', 'colleagues', 'mapping', 'neurological', 'substrates', 'subserve', 'global', 'information', 'processing', 'required', 'cognitive', 'reasoning', 'including', 'scientific', 'inquiry', 'making', 'research', 'ipso', 'facto', 'prior', 'ordo', 'cognoscendi', 'means', 'better', 'research', 'extension', 'course']"
Series 04 Episode 03 – The Zazzy Substitution," Yes, but if I’m successful, I will be able to map and reproduce your thought processes in deriving a grand unified theory, and therefore, subsume your conclusions under my paradigm.",Amy,"['ye', 'im', 'success', 'abl', 'map', 'reproduc', 'thought', 'process', 'deriv', 'grand', 'unifi', 'theori', 'therefor', 'subsum', 'conclus', 'paradigm']","[('yes', 'INTJ'), ('i', 'PRON'), ('m', 'VERB'), ('successful', 'ADJ'), ('able', 'ADJ'), ('map', 'NOUN'), ('reproduce', 'NOUN'), ('thought', 'NOUN'), ('processes', 'NOUN'), ('deriving', 'VERB'), ('grand', 'ADJ'), ('unified', 'ADJ'), ('theory', 'NOUN'), ('therefore', 'ADV'), ('subsume', 'VERB'), ('conclusions', 'NOUN'), ('paradigm', 'NOUN')]",[],"['yes', 'im', 'successful', 'able', 'map', 'reproduce', 'thought', 'processes', 'deriving', 'grand', 'unified', 'theory', 'therefore', 'subsume', 'conclusions', 'paradigm']"
Series 04 Episode 03 – The Zazzy Substitution,We appear to have reached an impasse.,Amy,"['appear', 'reach', 'impass']","[('appear', 'AUX'), ('reached', 'VERB'), ('impasse', 'NOUN')]",[],"['appear', 'reached', 'impasse']"
Series 04 Episode 03 – The Zazzy Substitution,Seconded.,Amy,['second'],"[('seconded', 'ADJ')]",[],['seconded']
Series 04 Episode 03 – The Zazzy Substitution," Good day, Sheldon Cooper.",Amy,"['good', 'day', 'sheldon', 'cooper']","[('good', 'ADJ'), ('day', 'NOUN'), ('sheldon', 'NOUN'), ('cooper', 'NOUN')]",[],"['good', 'day', 'sheldon', 'cooper']"
Series 04 Episode 03 – The Zazzy Substitution," Your mother thinks you might be losing your mind over me. As a neurobiologist, I was curious.",Amy,"['mother', 'think', 'might', 'lose', 'mind', 'neurobiologist', 'curiou']","[('mother', 'NOUN'), ('thinks', 'VERB'), ('might', 'AUX'), ('losing', 'VERB'), ('mind', 'NOUN'), ('neurobiologist', 'NOUN'), ('curious', 'ADJ')]",[],"['mother', 'thinks', 'might', 'losing', 'mind', 'neurobiologist', 'curious']"
Series 04 Episode 03 – The Zazzy Substitution,Excellent point.,Amy,"['excel', 'point']","[('excellent', 'ADJ'), ('point', 'NOUN')]",[],"['excellent', 'point']"
Series 04 Episode 03 – The Zazzy Substitution,Touche.,Amy,['touch'],"[('touche', 'PROPN')]",[],['touche']
Series 04 Episode 03 – The Zazzy Substitution,I’ll agree to that only if you’ll stipulate that 80% of our difficulties were caused by you.,Amy,"['ill', 'agre', 'youll', 'stipul', '80', 'difficulti', 'caus']","[('ill', 'PROPN'), ('agree', 'VERB'), ('you', 'PRON'), ('ll', 'AUX'), ('stipulate', 'VERB'), ('80', 'NUM'), ('difficulties', 'NOUN'), ('caused', 'VERB')]","[('ill agree', 'PERSON'), ('80', 'CARDINAL')]","['ill', 'agree', 'youll', 'stipulate', '80', 'difficulties', 'caused']"
Series 04 Episode 03 – The Zazzy Substitution,Sixty-five.,Amy,['sixtyf'],"[('sixtyfive', 'ADJ')]",[],['sixtyfive']
Series 04 Episode 03 – The Zazzy Substitution,I do. I find being cast in the role of bad girl oddly titillating.,Amy,"['find', 'cast', 'role', 'bad', 'girl', 'oddli', 'titil']","[('find', 'VERB'), ('cast', 'VERB'), ('role', 'NOUN'), ('bad', 'ADJ'), ('girl', 'NOUN'), ('oddly', 'ADV'), ('titillating', 'VERB')]",[],"['find', 'cast', 'role', 'bad', 'girl', 'oddly', 'titillating']"
Series 04 Episode 03 – The Zazzy Substitution,I would. I love cats. They’re the epitome of indifference.,Amy,"['would', 'love', 'cat', 'theyr', 'epitom', 'indiffer']","[('would', 'AUX'), ('love', 'VERB'), ('cats', 'NOUN'), ('they', 'PRON'), ('re', 'VERB'), ('epitome', 'NOUN'), ('indifference', 'NOUN')]",[],"['would', 'love', 'cats', 'theyre', 'epitome', 'indifference']"
Series 04 Episode 03 – The Zazzy Substitution,Next!,Amy,['next'],"[('next', 'ADJ')]",[],['next']
Series 04 Episode 03 – The Zazzy Substitution,Next!,Amy,['next'],"[('next', 'ADJ')]",[],['next']
Series 04 Episode 05 – The Desperation Emanation," From a neurobiological standpoint, Leonard, you may be alone because your psychological state is causing an actual pheromone-based stink of desperation.",Amy,"['neurobiolog', 'standpoint', 'leonard', 'may', 'alon', 'psycholog', 'state', 'caus', 'actual', 'pheromonebas', 'stink', 'desper']","[('neurobiological', 'ADJ'), ('standpoint', 'NOUN'), ('leonard', 'NOUN'), ('may', 'AUX'), ('alone', 'ADV'), ('psychological', 'ADJ'), ('state', 'NOUN'), ('causing', 'VERB'), ('actual', 'ADJ'), ('pheromonebased', 'VERB'), ('stink', 'NOUN'), ('desperation', 'NOUN')]",[],"['neurobiological', 'standpoint', 'leonard', 'may', 'alone', 'psychological', 'state', 'causing', 'actual', 'pheromonebased', 'stink', 'desperation']"
Series 04 Episode 05 – The Desperation Emanation,I understand that some people find mates in social gathering places such as bars or taverns. Have you tried a bar or tavern?,Amy,"['understand', 'peopl', 'find', 'mate', 'social', 'gather', 'place', 'bar', 'tavern', 'tri', 'bar', 'tavern']","[('understand', 'VERB'), ('people', 'NOUN'), ('find', 'VERB'), ('mates', 'NOUN'), ('social', 'ADJ'), ('gathering', 'NOUN'), ('places', 'NOUN'), ('bars', 'NOUN'), ('taverns', 'NOUN'), ('tried', 'VERB'), ('bar', 'NOUN'), ('tavern', 'NOUN')]",[],"['understand', 'people', 'find', 'mates', 'social', 'gathering', 'places', 'bars', 'taverns', 'tried', 'bar', 'tavern']"
Series 04 Episode 05 – The Desperation Emanation," That’s not true of all bars. Juice bars, for example.",Amy,"['that', 'true', 'bar', 'juic', 'bar', 'exampl']","[('that', 'PRON'), ('s', 'VERB'), ('true', 'ADJ'), ('bars', 'NOUN'), ('juice', 'NOUN'), ('bars', 'NOUN'), ('example', 'NOUN')]",[],"['thats', 'true', 'bars', 'juice', 'bars', 'example']"
Series 04 Episode 05 – The Desperation Emanation,That was rude.,Amy,['rude'],"[('rude', 'NOUN')]",[],['rude']
Series 04 Episode 05 – The Desperation Emanation,Cornucopia. What a mellifluous word.,Amy,"['cornucopia', 'melliflu', 'word']","[('cornucopia', 'PROPN'), ('mellifluous', 'ADJ'), ('word', 'NOUN')]","[('cornucopia mellifluous', 'ORG')]","['cornucopia', 'mellifluous', 'word']"
Series 04 Episode 05 – The Desperation Emanation,Agreed. And we’ll use mellifluous tomorrow.,Amy,"['agre', 'well', 'use', 'melliflu', 'tomorrow']","[('agreed', 'VERB'), ('well', 'ADV'), ('use', 'VERB'), ('mellifluous', 'ADJ'), ('tomorrow', 'NOUN')]","[('tomorrow', 'DATE')]","['agreed', 'well', 'use', 'mellifluous', 'tomorrow']"
Series 04 Episode 05 – The Desperation Emanation,Wait. I have a request.,Amy,"['wait', 'request']","[('wait', 'VERB'), ('request', 'NOUN')]",[],"['wait', 'request']"
Series 04 Episode 05 – The Desperation Emanation,I’d like you to meet my mother.,Amy,"['id', 'like', 'meet', 'mother']","[('i', 'PRON'), ('d', 'NOUN'), ('like', 'ADP'), ('meet', 'VERB'), ('mother', 'NOUN')]",[],"['id', 'like', 'meet', 'mother']"
Series 04 Episode 05 – The Desperation Emanation,Certainly. Good night.,Amy,"['certainli', 'good', 'night']","[('certainly', 'ADV'), ('good', 'ADJ'), ('night', 'NOUN')]",[],"['certainly', 'good', 'night']"
Series 04 Episode 05 – The Desperation Emanation,All right. (Leaves),Amy,"['right', 'leav']","[('right', 'ADJ'), ('leaves', 'VERB')]",[],"['right', 'leaves']"
